Striker_Id,Runs,Strike Rate,Sixes,Fours
223,4,30.76923076923077,0,0
224,278,140.4040404040404,6,45
225,19,73.07692307692307,0,1
226,37,127.58620689655173,0,6
227,42,97.67441860465115,1,5
228,156,157.57575757575756,8,9
229,183,102.23463687150837,1,22
230,181,126.57342657342659,3,15
231,237,111.26760563380283,8,24
232,133,109.01639344262296,5,13
233,10,76.92307692307693,0,1
234,5,100.0,0,0
235,66,85.71428571428571,3,5
236,924,121.57894736842105,14,113
237,626,127.75510204081633,23,47
238,23,88.46153846153845,1,1
239,51,96.22641509433963,1,4
240,10,111.11111111111111,0,1
241,203,127.67295597484276,13,9
242,8,88.88888888888889,1,0
243,7,100.0,0,1
244,34,130.76923076923077,1,4
245,34,147.82608695652172,1,3
246,36,133.33333333333331,1,4
247,4,200.0,0,1
248,21,91.30434782608695,1,1
249,31,81.57894736842105,0,3
250,35,92.10526315789474,0,3
251,15,71.42857142857143,0,3
252,49,80.32786885245902,0,9
253,225,111.94029850746267,14,9
254,1304,120.74074074074075,40,145
255,688,126.93726937269372,26,53
256,18,150.0,0,3
257,43,71.66666666666667,0,3
258,341,114.0468227424749,13,17
259,50,94.33962264150944,1,5
260,788,118.85369532428356,33,79
261,39,150.0,2,5
262,300,95.54140127388536,9,32
263,92,91.0891089108911,4,10
264,43,138.70967741935485,1,6
265,1,100.0,0,0
266,401,109.26430517711172,18,24
267,63,78.75,1,4
268,18,105.88235294117648,1,1
269,3,50.0,0,0
270,27,142.10526315789474,0,5
271,22,66.66666666666666,0,0
272,10,34.48275862068966,0,0
273,2,66.66666666666666,0,0
274,20,105.26315789473684,1,1
275,321,103.88349514563106,8,25
276,499,124.75,15,44
277,170,119.71830985915493,2,23
278,2,50.0,0,0
279,18,163.63636363636365,1,2
280,423,130.15384615384616,26,23
281,26,113.04347826086956,1,0
282,3,75.0,0,0
283,29,107.40740740740742,0,4
284,326,136.9747899159664,15,26
285,75,127.11864406779661,2,9
286,10,71.42857142857143,0,1
287,20,76.92307692307693,0,0
288,73,93.58974358974359,0,9
289,120,131.86813186813185,2,21
290,7,175.0,0,1
291,0,0.0,0,0
292,21,80.76923076923077,0,2
293,24,38.70967741935484,0,1
294,1,33.33333333333333,0,0
295,98,82.35294117647058,0,9
296,42,93.33333333333333,2,2
297,12,109.09090909090908,0,2
298,0,0.0,0,0
299,154,98.71794871794873,3,15
300,19,105.55555555555556,0,3
301,91,110.97560975609757,1,9
302,6,85.71428571428571,1,0
303,1287,124.22779922779922,38,109
304,83,112.16216216216218,4,10
305,919,154.7138047138047,56,76
306,1241,133.0117899249732,33,113
307,132,92.95774647887323,5,8
308,503,128.97435897435898,18,46
309,116,165.71428571428572,8,9
310,473,136.7052023121387,23,32
311,47,123.6842105263158,3,2
312,12,133.33333333333331,0,1
313,111,107.76699029126213,5,11
314,62,116.98113207547169,3,5
315,47,81.03448275862068,2,2
316,22,100.0,0,1
317,0,0.0,0,0
318,8,53.333333333333336,0,0
319,140,97.9020979020979,0,16
320,1480,140.55080721747387,74,100
321,388,124.7588424437299,13,39
322,209,122.94117647058825,9,16
323,32,100.0,1,3
324,5,166.66666666666669,0,1
325,280,142.85714285714286,15,16
326,0,0.0,0,0
327,125,107.75862068965519,2,13
328,98,102.08333333333333,0,12
329,342,122.14285714285715,9,36
330,87,112.98701298701299,2,7
331,164,98.20359281437125,2,15
332,12,133.33333333333331,1,0
